census_tract_id,count_airbnb_listings,P1
480170060001,3,753
480170060004,2,506
480170060005,1,3
480170060011,4,364
480170060014,1,68
480170060031,1,145
480170060033,1,273
480170060037,1,194
480170060039,2,876
480170060044,2,0
480170060049,1,67
480170060053,1,99
480170060058,2,378
480170060059,13,754
480170060061,4,520
480170060062,2,2
480170060068,1,218
480170060070,6,114
480170060071,4,952
480170060073,1,79
480170060074,1,53
480170060079,3,1062
480170060082,4,612
480170060084,1,14
480170060085,5,2460
480170060086,2,438
480170060087,1,22
480170060093,2,546
480170060094,4,444
480170060095,3,195
480170060096,5,1565
480170060098,3,39
480170060099,7,3052
480170060100,4,600
480170060102,2,156
480170060106,8,3256
480170060110,2,294
480170060115,5,750
480170060118,1,251
480170060122,1,13
480170060123,5,280
480170060124,3,1962
480170060126,1,130
480170060127,4,4452
480170060128,1,33
480170060132,4,164
480170060133,1,91
480170060134,2,154
480170060137,1,14
480170060139,1,286
480170060140,11,4279
480170060142,10,1150
480170060144,1,67
480170060150,2,404
480170060151,1,126
480170060152,23,8786
480170060153,3,189
480170060154,5,585
480170060156,1,29
480170060157,2,302
480170060161,3,648
480170060162,7,6832
480170060163,4,236
480170060164,1,229
480170060165,8,1216
480170060166,1,159
480170060168,1,0
480170060169,1,4
480170060171,12,1536
480170060172,1,219
480170060175,5,2055
480170060176,4,824
480170060177,1,139
480170060178,2,72
480170060179,1,222
480170060182,12,3432
480170060183,1,65
480170060184,5,90
480170060187,1,342
480170060189,4,920
480170060193,2,88
480170060194,2,574
480170060198,1,68
480170060199,9,2439
480170060200,1,13
480170060202,1,21
480170060204,19,9386
480170060206,1,289
480170060208,3,132
480170060210,3,1056
480170060212,1,319
480170060214,6,1386
480170060216,2,736
480170060217,2,738
480170060218,6,906
480170060219,1,343
480170060221,2,200
480170060222,1,18
480170060225,4,1380
480170060227,2,90
480170060228,1,92
480170060229,1,9
480170060230,3,234
480170060233,3,912
480170060234,8,2808
480170060236,2,420
480170060237,11,5049
480170060238,1,0
480170060239,6,444
480170060241,16,4160
480170060243,1,375
480170060244,2,290
480170060247,1,29
480170060248,3,402
480170060251,3,612
480170060252,1,695
480170060257,2,648
480170060258,1,48
480170060259,5,705
480170060262,3,567
480170060263,5,740
480170060268,10,2700
480170060269,4,292
480170060270,2,566
480170060271,4,788
480170060272,2,446
480170060273,8,424
480170060274,2,604
480170060277,2,392
480170060278,3,786
480170060279,6,792
480170060280,2,448
480170060281,1,243
480170060282,10,4520
480170060283,1,4
480170060284,6,822
480170060286,1,403
480170060287,46,4600
480170060289,30,8820
480170060290,2,100
480170060291,19,798
480170060292,29,5075
480170060293,67,13534
480170060294,10,4870
480170060296,5,1710
480170060299,2,70
480170060300,2,606
480170060301,11,0
480170060302,2,614
480170060306,1,270
480170060307,4,52
480170060308,17,10523
480170060309,8,4744
480170060310,6,1662
480170060313,5,1860
480170060314,3,750
480170060315,2,564
480170060316,1,73
480170060317,9,2259
480170060318,1,87
480170060320,1,121
480170060323,2,76
480170060324,2,268
480170060328,2,1012
480170060329,3,843
480170060332,1,189
480170060333,1,10
480170060335,2,252
480170060336,2,920
480170060337,6,54
480170060339,12,1164
480170060340,7,483
480170060341,4,64
480170060342,2,544
480170060343,9,4419
480170060348,1,1222
480170060349,2,1226
480170060350,1,34
480170060353,4,16
480170060357,9,1107
480170060358,2,220
480170060360,12,912
480170060361,17,5117
480170060362,36,7128
480170060364,2,538
480170060366,7,658
480170060367,13,2158
480170060368,8,1208
480170060369,13,3029
480170060370,2,122
480170060371,11,308
480170060372,2,490
480170060374,15,1515
480170060376,1,34
480170060379,2,496
480170060381,52,16380
480170060382,12,780
480170060383,9,540
480170060384,17,3043
480170060385,1,19
480170060388,1,127
480170060389,1,132
480170060390,6,1254
480170060391,2,932
480170060392,2,492
480170060393,24,7320
480170060394,7,490
480170060395,1,53
480170060397,2,202
480170060402,7,623
480170060403,25,3600
480170060406,5,3000
480170060407,4,284
480170060408,16,3776
480170060409,45,13275
480170060410,11,869
480170060412,19,2679
480170060415,2,482
480170060416,7,231
480170060418,5,690
480170060419,5,55
480170060420,3,456
480170060421,25,1550
480170060422,2,4
480170060425,36,8532
480170060428,4,40
480170060430,1,51
480170060431,14,1260
480170060432,6,480
480170060433,21,3654
480170060434,9,135
480170060435,29,14471
480170060436,227,254921
480170060437,9,450
480170060440,4,804
480170060443,1,116
480170060444,19,1843
480170060446,3,1206
480170060448,34,6698
480170060449,3,933
480170060450,15,1455
480170060452,4,44
480170060453,1,264
480170060455,7,4298
480170060456,14,490
480170060458,1,23
480170060459,1,349
480170060460,64,31552
480170060461,1,269
480170060464,2,714
480170060465,1,16
480170060466,9,1782
480170060469,1,283
480170060470,2,844
480170060471,4,940
480170060472,10,170
480170060473,5,1770
480170060474,11,2332
480170060475,34,2414
480170060476,2,0
480170060477,27,4185
480170060478,2,390
480170060479,18,0
480170060480,21,1974
480170060482,2,36
480170060485,3,504
480170060488,3,897
