CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060001","60001","32","10002","3","251","129","122","105","105","9","28","4","61","54","3","9","2","4","12","9","15","6","10","17","21","24","24","19","11","12","12","13","42","2","6","3","13","3","4","10","8","14","11","10","5","5","7","10","18","243","25","76","69","59","14","0","125","9","39","45","26","6","0","125","115","9","69","63","6","101","49","15","20","15","4","2","101","33","62","32","19","6","7","8","4","1","3","2","15","1","3","0","0","0","19","115","8","0","8","0","9063","20","92","4","116","246","46","36","18","9","4","3","18","70","70","40","30","32","8","0","25","5","6","2","2","0","0","0","0","6","26","8","0","12","8","10","9","1","0","126","20","19","0","1"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060002","60002","32","10002","3","15","5","10","5","7","0","2","1","2","3","0","0","0","2","0","0","0","1","0","0","2","1","1","1","1","0","1","0","5","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","13","1","6","0","6","0","0","4","1","1","0","2","0","0","6","6","0","2","2","0","7","2","0","1","0","1","0","5","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","1","0","441","3","3","1","7","15","3","2","1","0","1","0","0","4","4","4","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","0","0","8","0","4","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060003","60003","32","10002","3","20","9","11","6","8","1","4","1","4","4","1","0","0","0","0","0","1","0","3","0","0","2","1","0","3","3","2","1","4","0","0","0","1","0","2","0","0","1","1","0","1","1","1","0","1","20","7","6","2","5","0","0","9","5","1","1","2","0","0","11","8","2","7","5","1","9","2","2","1","0","2","1","3","3","4","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","8","0","0","0","0","876","1","7","0","8","20","1","3","3","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","8","0","1","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060004","60004","32","10002","3","253","120","133","96","113","10","26","8","54","57","5","2","2","8","12","15","10","12","2","12","18","30","22","19","15","8","12","20","38","6","6","8","5","7","2","7","7","14","10","8","7","4","5","11","13","243","21","73","66","67","16","0","113","9","35","38","23","8","0","122","114","4","64","60","2","96","36","19","10","4","5","3","99","31","62","29","49","26","18","28","3","13","12","1","17","3","4","25","0","0","49","107","6","0","6","0","8231","22","80","14","116","253","47","27","21","17","3","1","6","63","63","40","23","25","12","3","9","16","8","7","0","0","0","0","0","11","16","10","3","13","9","7","8","3","0","138","13","27","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060005","60005","32","10002","3","3","1","2","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","1","1","1","0","0","1","0","0","1","0","0","0","2","1","1","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","0","0","14","170","2","0","1","3","3","3","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","14","0","0","1","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060006","60006","32","10002","3","161","70","91","69","65","4","20","3","29","33","2","5","1","8","11","9","6","4","6","6","20","14","8","9","4","13","6","7","30","2","6","5","1","4","2","3","7","6","6","5","0","5","2","4","12","151","19","34","40","41","17","0","68","8","13","24","14","9","0","67","58","7","27","25","2","66","30","10","5","3","6","5","71","9","45","22","26","10","14","12","0","6","4","0","19","1","5","1","0","0","26","66","0","0","0","0","5219","13","52","4","69","161","25","19","11","10","3","1","10","27","27","17","10","15","1","1","1","1","3","8","4","0","0","0","0","1","9","6","1","3","4","6","3","1","0","66","1","16","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060007","60007","32","10002","3","377","186","191","165","164","3","34","11","91","84","0","6","5","13","33","25","23","11","16","8","25","42","41","28","22","16","16","17","41","7","18","11","12","7","11","5","10","18","22","18","11","8","6","7","15","359","54","108","87","63","43","4","176","21","59","52","23","19","2","170","160","9","98","94","4","136","52","28","24","13","14","6","170","45","70","32","19","9","9","8","2","6","3","0","5","8","2","4","0","0","19","155","0","0","0","0","13445","6","131","20","157","377","50","41","33","26","1","6","37","39","39","29","10","15","14","0","3","11","0","2","0","11","2","0","0","2","14","13","0","4","3","6","12","4","0","163","15","13","1","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060008","60008","32","10002","3","20","10","10","8","6","1","5","0","5","3","0","2","0","0","1","3","1","1","0","0","0","3","4","0","1","1","2","1","2","0","1","2","1","0","0","0","0","1","2","0","0","1","1","0","1","20","1","8","6","3","2","0","10","0","2","5","2","1","0","9","9","0","3","3","0","7","4","0","2","1","0","0","10","4","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","990","1","9","0","10","20","6","1","1","1","1","0","0","2","2","2","0","1","1","0","1","0","0","0","1","0","0","0","0","0","2","0","0","1","0","0","0","1","0","11","0","2","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060009","60009","32","10002","3","21","11","10","4","14","1","1","1","2","7","0","1","1","2","0","0","1","1","0","1","0","0","1","1","2","3","2","3","4","0","0","0","1","0","0","1","0","0","1","0","1","2","0","2","3","19","2","4","6","7","0","0","11","1","4","2","4","0","0","7","5","1","4","3","1","12","7","2","1","1","0","0","6","0","9","6","4","1","3","1","0","0","1","0","4","0","0","0","0","0","4","10","0","0","0","0","956","1","7","3","11","21","3","7","0","1","0","0","0","14","14","6","8","5","1","0","0","0","1","4","1","0","0","0","0","1","4","1","0","2","4","0","0","0","0","10","0","6","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060010","60010","32","10002","3","95","46","49","36","44","1","13","1","20","22","1","3","0","0","4","5","4","2","3","7","2","3","10","4","13","6","10","3","19","0","2","1","2","2","1","3","1","1","7","2","7","4","5","1","7","95","13","19","29","28","6","0","46","6","8","17","12","3","0","38","37","1","20","20","0","48","23","4","7","4","1","1","25","16","36","18","2","0","0","0","2","0","0","0","2","0","0","0","0","0","2","39","3","0","3","0","3828","3","35","2","40","95","12","14","5","6","2","1","6","21","21","14","7","10","4","0","0","1","0","6","7","0","0","0","0","3","7","2","2","5","1","3","4","1","0","50","1","13","0","0"
