,id,listing_url,last_scraped,host_id,host_since,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial
0,24469,https://www.airbnb.com/rooms/24469,2021-12-17,99178,2010-03-26,5,Centro Storico,43.7821,11.24392,Entire home/apt,4,1.0,70.0,2.0,26,56,86,361,1,0,0,,f,4,0.04,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1394.884805014026,1,0,0,0,0,0,0,1,1,1
1,24470,https://www.airbnb.com/rooms/24470,2021-12-17,99178,2010-03-26,5,Centro Storico,43.78202,11.24399,Entire home/apt,3,1.0,70.0,2.0,0,0,0,107,3,0,0,,f,4,0.02,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1384.585878741327,1,0,0,0,0,0,0,1,1,1
2,24471,https://www.airbnb.com/rooms/24471,2021-12-17,99178,2010-03-26,5,Centro Storico,43.78202,11.24399,Entire home/apt,6,2.0,135.0,2.0,0,0,0,107,0,0,0,,f,4,,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1384.585878741327,1,0,0,0,0,0,0,1,1,1
3,24472,https://www.airbnb.com/rooms/24472,2021-12-17,99178,2010-03-26,5,Centro Storico,43.78202,11.24399,Entire home/apt,6,2.0,120.0,2.0,26,56,86,361,2,0,0,,f,4,0.02,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1384.585878741327,1,0,0,0,0,0,0,1,1,1
4,26738,https://www.airbnb.com/rooms/26738,2021-12-17,113883,2010-04-26,2,Centro Storico,43.77017,11.25754,Private room,16,7.0,139.0,1.0,12,42,72,347,31,0,0,,f,2,0.22,0.0,0.0,0.0,0,0,0,0,1,0,1,0,348.3585367900966,1,0,0,0,0,0,0,0,0,1
5,31840,https://www.airbnb.com/rooms/31840,2021-12-17,380378,2011-02-07,36,Centro Storico,43.77709,11.25216,Private room,2,1.0,57.0,1.9,20,48,75,338,121,2,0,,t,26,0.87,20.0,1140.0,5.47945205479452,0,0,1,0,0,0,1,1,540.4705181558066,1,0,0,0,0,0,0,0,1,1
6,32120,https://www.airbnb.com/rooms/32120,2021-12-17,99235,2010-03-26,1,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,2,1.0,75.0,1.0,0,0,0,0,16,1,0,,t,1,0.12,1.6,120.0,0.4383561643835617,0,1,0,1,0,0,1,1,2147.792725321319,0,1,0,0,0,0,0,1,0,1
7,32180,https://www.airbnb.com/rooms/32180,2021-12-17,13925330,2014-04-05,2,Centro Storico,43.76832,11.24348,Entire home/apt,4,2.0,89.0,3.0,4,4,19,263,21,1,0,,t,2,0.15,2.0,178.0,0.547945205479452,0,1,0,0,1,0,1,1,1139.3893144294557,1,0,0,0,0,0,0,1,0,1
8,32395,https://www.airbnb.com/rooms/32395,2021-12-17,140170,2010-06-07,5,Centro Storico,43.76268,11.24149,Hotel room,2,1.0,60.0,2.0,15,45,75,338,532,20,2,,t,5,3.84,150.0,9000.0,41.0958904109589,1,0,1,0,0,0,1,1,1644.7909447187235,1,0,0,0,0,0,0,0,1,1
9,39115,https://www.airbnb.com/rooms/39115,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,2.0,3,6,19,270,50,2,0,,f,11,0.36,3.2,208.0,0.8767123287671234,0,0,1,0,0,0,1,0,364.5251050727623,1,0,0,0,0,0,0,0,1,1
10,39165,https://www.airbnb.com/rooms/39165,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,2,1.0,72.0,2.0,25,55,67,304,15,1,0,,f,11,0.11,12.5,900.0,3.4246575342465757,0,0,1,0,0,0,1,0,364.5251050727623,1,0,0,0,0,0,0,0,1,1
11,39822,https://www.airbnb.com/rooms/39822,2021-12-17,154769,2010-06-29,6,Centro Storico,43.76742,11.24378,Entire home/apt,4,2.0,75.0,4.0,0,0,0,138,25,0,0,,f,4,0.18,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1168.8986382034925,1,0,0,0,0,0,0,1,1,1
12,42997,https://www.airbnb.com/rooms/42997,2021-12-17,4156491,2012-11-15,189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,102.0,3.0,0,0,0,73,2,0,0,048017LTN4061,t,125,0.02,0.0,0.0,0.0,0,1,1,0,0,0,1,1,715.3774057820348,1,0,0,0,0,0,0,1,1,1
13,43365,https://www.airbnb.com/rooms/43365,2021-12-17,4156491,2012-11-15,189,Centro Storico,43.76944,11.26331,Entire home/apt,3,1.0,143.0,3.0,0,0,0,0,1,0,0,048017LTN4277,t,125,0.01,0.0,0.0,0.0,0,1,1,0,0,0,1,1,715.3774057820348,1,0,0,0,0,0,0,1,1,1
14,43369,https://www.airbnb.com/rooms/43369,2021-12-17,4156491,2012-11-15,189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,122.0,3.0,0,0,0,0,7,0,0,048017LTN4271,t,125,0.07,0.0,0.0,0.0,0,1,1,0,0,0,1,1,715.3774057820348,1,0,0,0,0,0,0,1,1,1
15,44781,https://www.airbnb.com/rooms/44781,2021-12-17,33210,2009-08-22,1,Centro Storico,43.76418,11.24618,Entire home/apt,4,1.0,99.0,3.0,13,13,13,214,305,24,1,,t,1,2.24,156.0,15444.0,42.73972602739726,0,1,0,1,0,0,1,1,1267.8385582260137,1,0,0,0,0,1,0,1,0,1
16,45606,https://www.airbnb.com/rooms/45606,2021-12-17,202686,2010-08-16,3,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,3,1.0,70.0,4.0,2,31,44,319,409,6,0,,t,3,3.2,9.6,672.0,2.63013698630137,0,1,1,0,0,0,1,1,1493.053938673516,0,0,1,0,0,0,0,1,1,1
17,46520,https://www.airbnb.com/rooms/46520,2021-12-17,380378,2011-02-07,36,Centro Storico,43.77699,11.25216,Private room,3,1.0,57.0,1.9,25,55,82,345,93,6,0,,t,26,0.68,75.0,4275.0,20.54794520547945,0,0,1,0,0,0,1,1,531.3950627188879,1,0,0,0,0,0,0,0,1,1
18,46523,https://www.airbnb.com/rooms/46523,2021-12-17,380378,2011-02-07,36,Centro Storico,43.77704,11.25217,Private room,1,1.0,43.0,1.9,16,44,74,333,216,16,5,,t,26,1.59,128.0,5504.0,35.06849315068493,0,0,1,0,0,0,1,1,535.4591891676976,1,0,0,0,0,0,0,0,1,1
19,46524,https://www.airbnb.com/rooms/46524,2021-12-17,380378,2011-02-07,36,Centro Storico,43.777,11.25216,Private room,3,1.0,59.0,1.9,24,54,81,344,78,12,1,,t,26,0.6,144.0,8496.0,39.45205479452055,0,0,1,0,0,0,1,1,532.2991349235758,1,0,0,0,0,0,0,0,1,1
20,47498,https://www.airbnb.com/rooms/47498,2021-12-17,215302,2010-08-28,4,Centro Storico,43.77386,11.25028,Private room,3,1.0,46.0,1.3,22,52,82,357,490,6,1,,t,3,3.59,66.0,3036.0,18.08219178082192,0,0,1,0,0,0,1,1,468.1989918707479,1,0,0,0,0,0,0,0,1,1
21,48372,https://www.airbnb.com/rooms/48372,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,1,1.0,46.0,2.0,11,20,50,301,4,0,0,,f,11,0.03,0.0,0.0,0.0,0,0,1,0,0,0,1,0,364.5251050727623,1,0,0,0,0,0,0,0,1,1
22,52543,https://www.airbnb.com/rooms/52543,2021-12-17,202686,2010-08-16,3,Isolotto Legnaia,43.77175,11.2364,Entire home/apt,5,1.0,70.0,5.0,0,0,0,77,192,1,0,,t,3,1.48,1.6,112.0,0.4383561643835617,0,1,1,0,0,0,1,1,1585.150388236866,0,0,1,0,0,0,0,1,1,1
23,52545,https://www.airbnb.com/rooms/52545,2021-12-17,202686,2010-08-16,3,Isolotto Legnaia,43.77164,11.23819,Entire home/apt,4,1.0,80.0,5.0,16,16,16,229,203,1,0,,t,3,1.64,8.0,640.0,2.191780821917808,0,1,1,0,0,0,1,1,1443.0688664212691,0,0,1,0,0,0,0,1,1,1
24,57542,https://www.airbnb.com/rooms/57542,2021-12-17,274074,2010-10-29,22,Centro Storico,43.77236,11.24787,Entire home/apt,4,1.0,111.0,3.0,10,22,45,320,106,3,0,,f,12,0.81,15.0,1665.0,4.10958904109589,0,1,1,0,0,0,1,0,659.7039185861533,1,0,0,0,0,0,0,1,1,1
25,57572,https://www.airbnb.com/rooms/57572,2021-12-17,274227,2010-10-29,3,Campo di Marte,43.78244,11.26419,Private room,3,1.0,48.0,2.0,0,14,44,316,153,0,0,,t,3,1.19,0.0,0.0,0.0,0,0,1,0,0,0,1,1,1229.489319927407,0,0,0,0,1,0,0,0,1,1
26,57644,https://www.airbnb.com/rooms/57644,2021-12-17,274758,2010-10-30,6,Centro Storico,43.77713,11.26182,Entire home/apt,4,1.0,90.0,3.0,1,13,43,181,76,7,1,,t,5,0.6,11.2,1008.0,3.068493150684932,0,1,1,0,0,0,1,1,648.1059064098607,1,0,0,0,0,0,0,1,1,1
27,57767,https://www.airbnb.com/rooms/57767,2021-12-17,274758,2010-10-30,6,Centro Storico,43.76728,11.25066,Entire home/apt,8,3.0,168.0,2.0,5,35,65,270,78,0,0,,t,5,0.63,0.0,0.0,0.0,0,1,1,0,0,0,1,1,776.5373125539086,1,0,0,0,0,0,0,1,1,1
28,57859,https://www.airbnb.com/rooms/57859,2021-12-17,274074,2010-10-29,22,Centro Storico,43.77652,11.25588,Entire home/apt,3,1.0,90.0,3.0,14,14,28,275,156,8,0,,t,12,1.21,56.0,5040.0,15.342465753424658,0,1,1,0,0,0,1,1,380.1116283759926,1,0,0,0,0,0,0,1,1,1
29,60838,https://www.airbnb.com/rooms/60838,2021-12-17,293716,2010-11-21,1,Centro Storico,43.77263,11.26316,Entire home/apt,4,2.0,88.0,3.0,24,54,84,264,85,2,0,,f,1,0.65,24.0,2112.0,6.575342465753424,0,1,0,1,0,0,1,0,578.8230747228569,1,0,0,0,0,0,0,1,0,1
30,61209,https://www.airbnb.com/rooms/61209,2021-12-17,274227,2010-10-29,3,Campo di Marte,43.78209,11.26469,Private room,2,1.0,42.0,2.0,0,14,44,319,444,0,0,,t,3,3.38,0.0,0.0,0.0,0,0,1,0,0,0,1,1,1219.4866534796802,0,0,0,0,1,0,0,0,1,1
31,64023,https://www.airbnb.com/rooms/64023,2021-12-17,96905,2010-03-21,3,Centro Storico,43.77089,11.25966,Entire home/apt,2,1.0,60.0,17.2,4,4,13,202,154,3,0,,t,3,1.2,6.0,360.0,1.643835616438356,0,1,1,0,0,0,1,1,383.5729010354096,1,0,0,0,0,0,0,1,1,1
32,66045,https://www.airbnb.com/rooms/66045,2021-12-17,323151,2010-12-20,4,Campo di Marte,43.78262,11.26856,Entire home/apt,4,1.0,70.0,3.0,0,15,45,320,96,0,0,,f,4,0.72,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1463.2959049681608,0,0,0,0,1,0,0,1,1,1
33,66324,https://www.airbnb.com/rooms/66324,2021-12-17,324794,2010-12-22,3,Centro Storico,43.77149,11.2594,Private room,3,1.0,120.0,2.0,15,45,75,350,27,0,0,,f,3,0.21,0.0,0.0,0.0,0,0,1,0,0,0,1,0,327.00751818775524,1,0,0,0,0,0,0,0,1,1
34,66353,https://www.airbnb.com/rooms/66353,2021-12-17,323151,2010-12-20,4,Centro Storico,43.77055,11.26723,Entire home/apt,5,3.0,107.0,3.0,27,57,87,362,23,0,0,,f,4,0.17,0.0,0.0,0.0,0,1,1,0,0,0,1,0,947.5118674697896,1,0,0,0,0,0,0,1,1,1
35,66598,https://www.airbnb.com/rooms/66598,2021-12-17,323151,2010-12-20,4,Centro Storico,43.76787,11.26324,Entire home/apt,7,2.0,95.0,3.0,0,12,42,225,130,0,0,,f,4,1.02,0.0,0.0,0.0,0,1,1,0,0,0,1,0,823.087634860873,1,0,0,0,0,0,0,1,1,1
36,66903,https://www.airbnb.com/rooms/66903,2021-12-17,328936,2010-12-28,1,Centro Storico,43.77591,11.25846,Entire home/apt,4,1.0,75.0,3.0,25,55,85,360,9,0,0,,t,1,0.07,0.0,0.0,0.0,0,1,0,1,0,0,1,1,369.7322777259506,1,0,0,0,0,0,0,1,0,1
37,67725,https://www.airbnb.com/rooms/67725,2021-12-17,167739,2010-07-15,10,Centro Storico,43.77525,11.25258,Private room,3,1.0,90.0,2.0,26,30,30,221,4,1,0,,f,11,0.05,13.0,1170.0,3.5616438356164384,0,0,1,0,0,0,1,0,364.5251050727623,1,0,0,0,0,0,0,0,1,1
38,68273,https://www.airbnb.com/rooms/68273,2021-12-17,338220,2011-01-07,4,Centro Storico,43.77931,11.25805,Entire home/apt,3,1.0,124.0,3.0,0,0,0,76,40,6,0,,t,1,0.3,9.6,1190.4,2.63013698630137,0,1,1,0,0,0,1,1,709.4436409958058,1,0,0,0,0,0,0,1,1,1
39,68530,https://www.airbnb.com/rooms/68530,2021-12-17,340421,2011-01-09,1,Centro Storico,43.77597,11.25035,Entire home/apt,6,2.0,80.0,3.0,11,41,71,274,76,10,3,,t,1,0.59,55.0,4400.0,15.068493150684931,0,1,0,1,0,0,1,1,555.5157174200424,1,0,0,0,0,0,0,1,0,1
